Fixed_Question_Equation,Fixed_Question_Answer,Question,Fixed_Question,Question_Digits,Decimal_Question,Question_Steps,Question_Information_Irrelevance,Question_Length,Question_Length_Cateogry
x=+70-27,43,Joan found 70 seashells on the beach. She gave Sam some of her seashells. She has 27 seashell. How many seashells did she give to Sam?,Joan found 70 seashells on the beach. She gave Sam some of her seashells. She has 27 seashells left. How many seashells did she give to Sam?,2,0,1,1,140,B. 100<=x<200
x=+54-28,26,There were 28 bales of hay in the barn. Tim stacked bales in the barn today. There are now 54 bales of hay in the barn. How many bales did he store in the barn?,There were 28 bales of hay in the barn. Tim stacked bales in the barn today. There are now 54 bales of hay in the barn. How many bales did he store in the barn?,2,0,1,1,160,B. 100<=x<200
x=+8-2,6,Mary is baking a cake. The recipe wants 8 cups of flour. She already put in 2 cups. How many cups does she need to add?,Mary is baking a cake. The recipe wants 8 cups of flour. She already put in 2 cups. How many cups does she need to add?,1,0,1,1,119,B. 100<=x<200
x=+12-4,8,Sara's high school played 12 basketball games this year. The team won most of their games. They were defeated during 4 games. How many games did they win?,Sara's high school played 12 basketball games this year. The team won most of their games. They were defeated during 4 games. How many games did they win?,2,0,1,1,154,B. 100<=x<200
x=+55-22,33,There are 22 walnut trees currently in the park. Park workers will plant walnut trees today. When the workers are finished there will be 55 walnut trees in the park. How many walnut trees did the workers plant today?,There are 22 walnut trees currently in the park. Park workers will plant walnut trees today. When the workers are finished there will be 55 walnut trees in the park. How many walnut trees did the workers plant today?,2,0,1,1,216,C. x>=200
x=+86-34,52,Mike had 34 peaches at his roadside fruit dish. He went to the orchard and picked peaches to stock up. There are now 86 peaches. How many did he pick?,Mike had 34 peaches at his roadside fruit dish. He went to the orchard and picked peaches to stock up. There are now 86 peaches. How many did he pick?,2,0,1,1,150,B. 100<=x<200
x=+16-6,10,There were 6 roses in the vase. Mary cut some roses from her flower garden. There are now 16 roses in the vase. How many roses did she cut?,There were 6 roses in the vase. Mary cut some roses from her flower garden. There are now 16 roses in the vase. How many roses did she cut?,2,0,1,1,139,B. 100<=x<200
x=+4+9,13,Joan went to 4 football games this year. She went to 9 games last year. How many football games did Joan go to in all?,Joan went to 4 football games this year. She went to 9 games last year. How many football games did Joan go to in all?,1,0,1,1,118,B. 100<=x<200
x=+9+8,17,Tom has 9 yellow balloons Sara has 8 yellow balloons. How many yellow balloons do they have in total?,Tom has 9 yellow balloons Sara has 8 yellow balloons. How many yellow balloons do they have in total?,1,0,1,0,101,B. 100<=x<200
x=+4+6,10,There are 4 walnut trees currently in the park. Park workers will plant 6 walnut trees today. How many walnut trees will the park have when the workers are finished?,There are 4 walnut trees currently in the park. Park workers will plant 6 walnut trees today. How many walnut trees will the park have when the workers are finished?,1,0,1,1,165,B. 100<=x<200
x=+9+7,16,Sam had 9 dimes in his bank. His dad gave him 7 dimes. How many dimes does Sam have now?,Sam had 9 dimes in his bank. His dad gave him 7 dimes. How many dimes does Sam have now?,1,0,1,0,88,A. x<100
x=+7+5,12,Alyssa's dog had puppies. She gave 7 to her friends. She now has 5 puppies. How many puppies did she have to start with?,Alyssa's dog had puppies. She gave 7 to her friends. She now has 5 puppies. How many puppies did she have to start with?,1,0,1,1,120,B. 100<=x<200
x=+9+6,15,A restaurant served 9 pizzas during lunch and 6 during dinner today. How many pizzas were served today?,A restaurant served 9 pizzas during lunch and 6 during dinner today. How many pizzas were served today?,1,0,1,1,103,B. 100<=x<200
x=+2+3,5,There are 2 pencils in the drawer. Tim placed 3 pencils in the drawer. How many pencils are now there in total?,There are 2 pencils in the drawer. Tim placed 3 pencils in the drawer. How many pencils are now there in total?,1,0,1,0,111,B. 100<=x<200
x=+6+8,14,Joan found 6 seashells and Jessica found 8 seashells on the beach. How many seashells did they find together?,Joan found 6 seashells and Jessica found 8 seashells on the beach. How many seashells did they find together?,1,0,1,0,109,B. 100<=x<200
x=+6+3,9,Sandy grew 6 carrots. Sam grew 3 carrots. How many carrots did they grow in total?,Sandy grew 6 carrots. Sam grew 3 carrots. How many carrots did they grow in total?,1,0,1,0,82,A. x<100
x=+2+9,11,Benny picked 2 apples and Dan picked 9 apples from the apple tree. How many apples were picked in total?,Benny picked 2 apples and Dan picked 9 apples from the apple tree. How many apples were picked in total?,1,0,1,0,104,B. 100<=x<200
x=+9+7+5,21,"Sally found 9 seashells, Tom found 7 seashells and Jessica found 5 seashells on the beach. How many seashells did they find together?","Sally found 9 seashells, Tom found 7 seashells and Jessica found 5 seashells on the beach. How many seashells did they find together?",1,0,2,0,133,B. 100<=x<200
x=+3+6+9,18,Tim's cat had kittens. He gave 3 to Jessica and 6 to Sara. He now has 9 kittens. How many kittens did he have to start with?,Tim's cat had kittens. He gave 3 to Jessica and 6 to Sara. He now has 9 kittens. How many kittens did he have to start with?,1,0,2,1,124,B. 100<=x<200
x=+9+5+2,16,"Joan has 9 blue balloons, Sally has 5 blue balloons and Jessica has 2 blue balloons. How many blue balloons do they have in total?","Joan has 9 blue balloons, Sally has 5 blue balloons and Jessica has 2 blue balloons. How many blue balloons do they have in total?",1,0,2,0,130,B. 100<=x<200
x=+7+8+4,19,Melanie had 7 dimes in her bank. Her dad gave her 8 dimes and her mother gave her 4 dimes. How many dimes does Melanie have now?,Melanie had 7 dimes in her bank. Her dad gave her 8 dimes and her mother gave her 4 dimes. How many dimes does Melanie have now?,1,0,2,0,128,B. 100<=x<200
x=+5+6+3,14,A restaurant served 5 cakes during lunch and 6 during dinner today. The restaurant served 3 cakes yesterday. How many cakes were served in total?,A restaurant served 5 cakes during lunch and 6 during dinner today. The restaurant served 3 cakes yesterday. How many cakes were served in total?,1,0,2,1,145,B. 100<=x<200
x=+4+9+3,16,"Melanie picked 4 plums, Dan picked 9 plums and Sally picked 3 plums from the plum tree. How many plums were picked in total?","Melanie picked 4 plums, Dan picked 9 plums and Sally picked 3 plums from the plum tree. How many plums were picked in total?",1,0,2,0,124,B. 100<=x<200
x=+7+3+2,12,There are 7 dogwood trees currently in the park. Park workers will plant 3 dogwood trees today and 2 dogwood trees tomorrow. How many dogwood trees will the park have when the workers are finished?,There are 7 dogwood trees currently in the park. Park workers will plant 3 dogwood trees today and 2 dogwood trees tomorrow. How many dogwood trees will the park have when the workers are finished?,1,0,2,1,197,B. 100<=x<200
x=+4+5+9,18,"Sara grew 4 onions, Sally grew 5 onions and Fred grew 9 onions. How many onions did they grow in all?","Sara grew 4 onions, Sally grew 5 onions and Fred grew 9 onions. How many onions did they grow in all?",1,0,2,0,101,B. 100<=x<200
x=+43+24,67,Jason has 43 blue and 16 red marbles. Tom has 24 blue marbles. How many blue marbles do they have in all?,Jason has 43 blue and 16 red marbles. Tom has 24 blue marbles. How many blue marbles do they have in all?,2,0,1,2,105,B. 100<=x<200
x=+18+47,65,Sam found 18 seashells and Mary found 47 seashells on the beach. How many seashells did they find together?,Sam found 18 seashells and Mary found 47 seashells on the beach. How many seashells did they find together?,2,0,1,0,107,B. 100<=x<200
x=+23+28,51,Jason grew 23 watermelons and 18 turnips. Nancy grew 28 watermelons. How many watermelons did they grow in total?,Jason grew 23 watermelons and 18 turnips. Nancy grew 28 watermelons. How many watermelons did they grow in total?,2,0,1,2,113,B. 100<=x<200
x=+11+14,25,There are 11 rulers and 34 crayons in the drawer. Tim placed 14 rulers in the drawer. How many rulers are now there in all?,There are 11 rulers and 34 crayons in the drawer. Tim placed 14 rulers in the drawer. How many rulers are now there in all?,2,0,1,2,123,B. 100<=x<200
x=+45+11,56,Sara picked 45 pears and Sally picked 11 pears from the pear tree. How many pears were picked in total?,Sara picked 45 pears and Sally picked 11 pears from the pear tree. How many pears were picked in total?,2,0,1,0,103,B. 100<=x<200
x=+20+21,41,Keith has 20 books. Jason has 21 books. How many books do they have together?,Keith has 20 books. Jason has 21 books. How many books do they have together?,2,0,1,0,77,A. x<100
x=+49+25,74,Jason had 49 quarters in his bank. His dad gave him 25 quarters. How many quarters does he have now?,Jason had 49 quarters in his bank. His dad gave him 25 quarters. How many quarters does he have now?,2,0,1,0,100,B. 100<=x<200
x=+15+43,58,"Tom found 15 seashells and Fred found 43 seashells on the beach. When they cleaned them, they discovered that 29 were cracked. How many seashells did they find together?","Tom found 15 seashells and Fred found 43 seashells on the beach. When they cleaned them, they discovered that 29 were cracked. How many seashells did they find together?",2,0,1,2,169,B. 100<=x<200
x=+31+24,55,Sara has 31 red and 15 green balloons. Sandy has 24 red balloons. How many red balloons do they have in total?,Sara has 31 red and 15 green balloons. Sandy has 24 red balloons. How many red balloons do they have in total?,2,0,1,2,110,B. 100<=x<200
x=+37+10,47,Joan picked 37 oranges and Sara picked 10 oranges. Alyssa picked 30 pears. How many oranges were picked in total?,Joan picked 37 oranges and Sara picked 10 oranges. Alyssa picked 30 pears. How many oranges were picked in total?,2,0,1,2,113,B. 100<=x<200
x=+36+11,47,"Fred went to 36 basketball games this year, but missed 35. He went to 11 games last year. How many basketball games did Fred go to in total?","Fred went to 36 basketball games this year, but missed 35. He went to 11 games last year. How many basketball games did Fred go to in total?",2,0,1,2,140,B. 100<=x<200
x=+33+27,60,There are 33 pencils and 44 crayons in the drawer. Joan placed 27 pencils in the drawer. How many pencils are now there in total?,There are 33 pencils and 44 crayons in the drawer. Joan placed 27 pencils in the drawer. How many pencils are now there in total?,2,0,1,2,129,B. 100<=x<200
x=+24+39,63,Sam had 49 pennies and 24 nickels in his bank. His dad gave him 39 nickels and 31 quarters. How many nickels does he have now?,Sam had 49 pennies and 24 nickels in his bank. His dad gave him 39 nickels and 31 quarters. How many nickels does he have now?,2,0,1,2,126,B. 100<=x<200
x=+42+47,89,Dan grew 42 turnips and 38 cantelopes. Jessica grew 47 turnips. How many turnips did they grow in total?,Dan grew 42 turnips and 38 cantelopes. Jessica grew 47 turnips. How many turnips did they grow in total?,2,0,1,2,104,B. 100<=x<200
x=+33+44,77,There are 33 walnut trees currently in the park. Park workers will plant 44 walnut trees today. How many walnut trees will the park have when the workers are finished?,There are 33 walnut trees currently in the park. Park workers will plant 44 walnut trees today. How many walnut trees will the park have when the workers are finished?,2,0,1,1,167,B. 100<=x<200
x=+21+49,70,Sara had 21 quarters in her bank. Her dad gave her 49 quarters. How many quarters does she have now?,Sara had 21 quarters in her bank. Her dad gave her 49 quarters. How many quarters does she have now?,2,0,1,0,100,B. 100<=x<200
x=+41+30,71,There are 41 pencils in the drawer. Mike placed 30 pencils in the drawer. How many pencils are now there in total?,There are 41 pencils in the drawer. Mike placed 30 pencils in the drawer. How many pencils are now there in total?,2,0,1,0,114,B. 100<=x<200
x=+10+38,48,Joan has 10 books. Tom has 38 books. How many books do they have together?,Joan has 10 books. Tom has 38 books. How many books do they have together?,2,0,1,0,74,A. x<100
x=+40+41,81,Joan has 40 blue balloons Melanie has 41 blue balloons. How many blue balloons do they have in total?,Joan has 40 blue balloons Melanie has 41 blue balloons. How many blue balloons do they have in total?,2,0,1,0,101,B. 100<=x<200
x=+38+44,82,Fred grew 38 cantelopes. Tim grew 44 cantelopes. How many cantelopes did they grow in total?,Fred grew 38 cantelopes. Tim grew 44 cantelopes. How many cantelopes did they grow in total?,2,0,1,0,92,A. x<100
x=+14+29,43,Sam went to 14 football games this year. He went to 29 games last year. How many football games did Sam go to in all?,Sam went to 14 football games this year. He went to 29 games last year. How many football games did Sam go to in all?,2,0,1,1,117,B. 100<=x<200
x=+18+41,59,Mary found 18 seashells and Jessica found 41 seashells on the beach. How many seashells did they find together?,Mary found 18 seashells and Jessica found 41 seashells on the beach. How many seashells did they find together?,2,0,1,0,111,B. 100<=x<200
x=+39+41+20,100,There are 39 dogwood trees currently in the park. Park workers will plant 41 dogwood trees today and 20 dogwood trees tomorrow. How many dogwood trees will the park have when the workers are finished?,There are 39 dogwood trees currently in the park. Park workers will plant 41 dogwood trees today and 20 dogwood trees tomorrow. How many dogwood trees will the park have when the workers are finished?,2,0,2,1,200,C. x>=200
x=+10+24+33,67,"Sandy has 10 books, Benny has 24 books and Tim has 33 books. How many books do they have together?","Sandy has 10 books, Benny has 24 books and Tim has 33 books. How many books do they have together?",2,0,2,0,98,A. x<100
